pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
24	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRIAL
25	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	NEUTRAL	2.8	A_contradicts_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
26	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRAIN
27	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
28	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
29	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN
31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
32	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	ENTAILMENT	4.2	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
33	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	ENTAILMENT	4.7	A_entails_B	B_entails_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
34	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
35	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
36	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
37	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	NEUTRAL	4	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
38	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
39	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
40	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
41	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	NEUTRAL	4	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
46	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	NEUTRAL	3.415	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
48	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
50	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
51	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
54	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
57	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	NEUTRAL	3.5	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
59	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
60	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.1	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
61	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	NEUTRAL	4	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
64	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
66	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
68	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	NEUTRAL	4.6	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
69	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
71	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL	3.3	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
72	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	NEUTRAL	2.5	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
73	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
76	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	NEUTRAL	2.9	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
77	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	ENTAILMENT	4.4	A_entails_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
78	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
79	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL	3.635	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
80	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume	NEUTRAL	1.3	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
81	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
82	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	NEUTRAL	2.6	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
83	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL	2.2	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
84	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	NEUTRAL	3	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
85	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	NEUTRAL	2	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
86	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL	2.6	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
87	A lone biker is jumping in the air	A biker is jumping in the air, alone	ENTAILMENT	5	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
88	There is no biker jumping in the air	A lone biker is jumping in the air	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
91	A man is jumping into an empty pool	The man's jumper is in the empty pool	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
92	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	NEUTRAL	1.6	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
93	A lone biker is jumping in the air	A man is jumping into a full pool	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
94	The man's jumper is in the empty pool	A lone biker is jumping in the air	NEUTRAL	1.4	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
95	A man is jumping into an empty pool	A biker is jumping in the air, alone	NEUTRAL	1.6	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
96	A man is jumping into an empty pool	There is no biker jumping in the air	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TEST
97	A lone biker is jumping in the air	A man is jumping into an empty pool	NEUTRAL	1.5	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
99	Four children are doing backbends in the gym	Four children are doing backbends in the park	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TRAIN
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST
102	Four girls are doing backbends and playing in the garden	Four children are doing backbends in the park	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST
103	Four girls are doing backbends and playing indoors	Four children are doing backbends in the park	NEUTRAL	3.7	A_contradicts_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four children do backbends in the park.	FLICKR	FLICKR	TEST
104	Four kids are doing backbends in the park	Four girls are doing backbends and playing outdoors	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four children do backbends in the park.	FLICKR	FLICKR	TEST
105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four children do backbends in the park.	FLICKR	FLICKR	TRIAL
106	Four girls are doing backbends and playing outdoors	Four children are doing backbends in the park	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST
107	A man who is playing is running with the ball in his hands	A player is running with the ball	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A running back running with the football.	A running back running with the football.	FLICKR	FLICKR	TRAIN
108	A player is throwing the ball	A player is running with the ball	NEUTRAL	3.5	A_contradicts_B	B_neutral_A	A running back running with the football.	A running back running with the football.	FLICKR	FLICKR	TEST
109	Two groups of people are playing football	Two teams are competing in a football match	ENTAILMENT	4.7	A_entails_B	B_entails_A	Two teams compete in football.	Two teams compete in football.	FLICKR	FLICKR	TEST
110	Two teams are competing in a football match	Two teams are competing in a baseball game	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two teams compete in football.	Two teams compete in football.	FLICKR	FLICKR	TEST
111	Two teams are competing in a football match	Football is being played by two competing teams	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two teams compete in football.	Two teams compete in football.	FLICKR	FLICKR	TEST
112	Two groups of people are playing football	A player is running with the ball	NEUTRAL	2.1	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN
113	Two teams are competing in a baseball game	A player is running with the ball	NEUTRAL	3	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN
114	A player is running with the ball	Football is being played by two competing teams	NEUTRAL	3	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TEST
115	Two teams are competing in a football match	A man who is playing is running with the ball in his hands	NEUTRAL	2.7	A_neutral_B	B_neutral_A	Two teams compete in football.	A running back running with the football.	FLICKR	FLICKR	TEST
116	A player is throwing the ball	Two teams are competing in a football match	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two teams compete in football.	A running back running with the football.	FLICKR	FLICKR	TRIAL
